ts_ns,ax,ay,az,gesture,trial_id
1125729201000,-0.9194,3.5626,9.3781,figure8,47
1125749190000,-1.0175,3.7972,8.8849,figure8,47
1125769135000,-1.2905,3.4596,8.5593,figure8,47
1125789183000,-1.2306,2.8347,8.4324,figure8,47
1125809109000,-1.4557,2.3918,8.2552,figure8,47
1125829228000,-1.6927,2.6193,8.0589,figure8,47
1125849117000,-1.8507,2.7461,7.7548,figure8,47
1125869142000,-1.992,2.6073,7.3239,figure8,47
1125889232000,-2.2529,2.5594,7.1587,figure8,47
1125909204000,-2.1284,2.5474,7.039,figure8,47
1125929152000,-2.047,2.0542,7.1754,figure8,47
1125949185000,-1.9082,1.8914,7.2712,figure8,47
1125969152000,-2.0901,1.9728,7.3598,figure8,47
1125989185000,-2.1452,1.6735,7.4053,figure8,47
1126009175000,-1.8004,1.1085,7.5705,figure8,47
1126029159000,-1.3862,0.1628,8.0134,figure8,47
1126049224000,-1.336,-0.17,8.0804,figure8,47
1126069120000,-1.4269,-0.3232,7.7596,figure8,47
1126089117000,-1.3168,-0.7135,7.8721,figure8,47
1126109142000,-1.1133,-1.1133,8.1499,figure8,47
1126129161000,-0.893,-1.5467,8.2384,figure8,47
1126149203000,-0.8882,-2.2146,8.7149,figure8,47
1126169144000,-0.9074,-2.6815,8.8131,figure8,47
1126189203000,-1.0582,-2.897,8.6981,figure8,47
1126209175000,-1.1636,-3.1603,8.9519,figure8,47
1126229239000,-1.4844,-3.0957,9.6199,figure8,47
1126249113000,-1.4653,-2.7845,9.9383,figure8,47
1126269142000,-1.3312,-2.296,10.1179,figure8,47
1126289217000,-1.4676,-2.1548,10.1897,figure8,47
1126309203000,-1.221,-2.4876,10.6925,figure8,47
1126329195000,-0.9194,-3.043,10.9966,figure8,47
1126349250000,-0.6393,-3.3543,10.9798,figure8,47
1126369118000,-0.3543,-3.4046,10.6901,figure8,47
1126389159000,-0.3591,-3.4548,10.5848,figure8,47
1126409210000,-0.3591,-3.4716,10.4603,figure8,47
1126429203000,-0.4046,-2.8012,10.3477,figure8,47
1126449144000,-0.1197,-2.229,10.161,figure8,47
1126469204000,0.1006,-1.8555,9.8928,figure8,47
1126489144000,0.0,-0.8428,9.8497,figure8,47
1126509109000,-0.1293,0.6656,9.2775,figure8,47
1126529113000,-0.7207,1.4724,8.7125,figure8,47
1126549185000,-0.5722,2.1308,8.8226,figure8,47
1126569199000,-0.6177,1.8986,8.8322,figure8,47
1126589239000,-0.6608,2.5067,8.7293,figure8,47
1126609175000,-0.8619,3.0909,8.5353,figure8,47
1126629221000,-0.8547,3.5243,8.4827,figure8,47
1126649190000,-0.9936,3.8355,8.4827,figure8,47
1126669196000,-1.0391,3.4812,8.5545,figure8,47
1126689238000,-0.9361,3.1412,8.8131,figure8,47
1126709136000,-0.8667,2.8108,8.3821,figure8,47
1126729123000,-1.0942,2.7078,7.9057,figure8,47
1126749153000,-0.7973,2.4541,8.3725,figure8,47
1126769189000,-0.1293,2.5546,8.9926,figure8,47
1126789114000,-0.2298,3.2633,9.0716,figure8,47
1126809141000,-0.6584,3.5698,9.0573,figure8,47
1130209252000,-0.8619,2.9353,10.161,figure8,48
1130229167000,-0.6991,3.2346,10.1754,figure8,48
1130249119000,-0.5243,3.5195,9.9455,figure8,48
1130269232000,-0.2969,3.9169,9.924,figure8,48
1130289141000,-0.4118,3.9097,9.7061,figure8,48
1130309232000,-0.5171,3.5338,9.517,figure8,48
1130329161000,-0.8547,3.3998,9.0621,figure8,48
1130349113000,-1.0726,3.4596,8.4587,figure8,48
1130369141000,-1.0008,3.4046,8.6503,figure8,48
1130389232000,-0.6871,3.2202,8.6048,figure8,48
1130409196000,-0.6752,2.8467,8.4659,figure8,48
1130429190000,-0.7111,2.9473,8.3701,figure8,48
1130449238000,-0.7925,3.474,8.2576,figure8,48
1130469113000,-0.8835,3.1891,8.5305,figure8,48
1130489158000,-1.1468,3.1915,8.4324,figure8,48
1130509213000,-1.4174,3.2082,8.3175,figure8,48
1130529158000,-1.6281,2.8946,8.2528,figure8,48
1130549183000,-1.5323,2.4134,8.2073,figure8,48
1130569224000,-1.4461,2.0542,8.2432,figure8,48
1130589232000,-1.3503,2.2266,8.1594,figure8,48
1130609159000,-1.1277,1.7142,8.2313,figure8,48
1130629152000,-1.2809,1.4581,8.1858,figure8,48
1130649239000,-1.6472,1.0104,7.9918,figure8,48
1130669117000,-1.8076,0.7877,7.9511,figure8,48
1130689150000,-2.2314,0.6153,8.0397,figure8,48
1130709135000,-2.5402,0.2801,8.0325,figure8,48
1130729119000,-2.5283,0.34,7.9128,figure8,48
1130749113000,-1.9848,0.1317,7.9607,figure8,48
1130769141000,-1.561,-0.4477,8.6143,figure8,48
1130789232000,-1.2641,-0.9673,8.5928,figure8,48
1130809178000,-1.0989,-1.3288,8.3342,figure8,48
1130829232000,-1.1157,-1.8244,8.5473,figure8,48
1130849141000,-0.9481,-2.2003,8.7963,figure8,48
1130869178000,-0.8739,-2.3032,8.9112,figure8,48
1130889219000,-1.0151,-2.2505,8.8178,figure8,48
1130909117000,-1.0774,-2.1117,8.4922,figure8,48
1130929238000,-1.6017,-2.2721,8.2672,figure8,48
1130949113000,-1.8675,-2.3631,8.5569,figure8,48
1130969141000,-1.3767,-2.8683,9.0046,figure8,48
1130989156000,-0.68,-2.6217,9.1147,figure8,48
1131009203000,-0.7183,-2.2242,9.2823,figure8,48
1131029175000,-1.0654,-2.2242,9.6151,figure8,48
1131049123000,-1.1636,-2.3463,9.5912,figure8,48
1131069113000,-0.9385,-2.636,9.4858,figure8,48
1131089224000,-0.4693,-2.7461,9.5385,figure8,48
1131109224000,-0.2873,-3.0622,10.0772,figure8,48
1131129127000,-0.2155,-3.225,10.5896,figure8,48
1131149232000,-0.0192,-2.9377,10.6111,figure8,48
1131169142000,0.3089,-2.49,10.5273,figure8,48
1131189135000,0.3974,-2.6815,10.8984,figure8,48
1131209184000,0.2418,-2.4157,11.0828,figure8,48
1131229117000,0.0048,-1.0104,11.0038,figure8,48
1134109243000,-0.4549,-1.7597,9.3541,figure8,49
1134129181000,-0.5028,-1.8483,9.3637,figure8,49
1134149158000,-0.4621,-1.743,9.5217,figure8,49
1134169219000,-0.5746,-1.1732,9.8521,figure8,49
1134189238000,-0.656,-0.8547,9.8689,figure8,49
1134209167000,-0.6584,-0.3711,9.9886,figure8,49
1134229142000,-0.8428,-0.3735,10.2065,figure8,49
1134249215000,-0.8547,-0.0527,10.8577,figure8,49
1134269204000,-1.2115,0.7087,11.0852,figure8,49
1134289144000,-1.3815,1.719,11.0157,figure8,49
1134309183000,-1.5682,2.5522,11.0109,figure8,49
1134329153000,-1.5107,2.8611,10.9223,figure8,49
1134349206000,-1.5419,2.9664,10.7835,figure8,49
1134369201000,-1.6424,3.0191,10.7571,figure8,49
1134389107000,-1.6305,2.8754,10.6949,figure8,49
1134409177000,-1.2234,2.9784,10.7404,figure8,49
1134429234000,-0.9768,3.1196,10.3813,figure8,49
1134449114000,-1.0199,3.1891,10.0245,figure8,49
1134469224000,-0.7805,3.0335,9.7276,figure8,49
1134489153000,-0.7949,2.9377,9.517,figure8,49
1134509119000,-0.6991,3.5195,9.3422,figure8,49
1134529201000,-0.7661,3.6224,9.0597,figure8,49
1134549123000,-0.8045,3.3064,8.8155,figure8,49
1134569219000,-0.7973,3.2968,8.7556,figure8,49
1134589238000,-0.9002,2.988,8.5808,figure8,49
1134609103000,-1.4078,2.5642,8.3462,figure8,49
1134629158000,-1.9297,2.3583,8.1379,figure8,49
1134649246000,-1.9704,2.4804,8.0565,figure8,49
1134669118000,-1.8148,2.3367,8.0445,figure8,49
1134689141000,-1.7358,1.7597,8.3151,figure8,49
1134709116000,-1.7597,1.6424,8.2456,figure8,49
1134729202000,-2.0063,1.7597,8.0756,figure8,49
1134749114000,-2.0111,1.5969,7.9942,figure8,49
1134769141000,-2.0327,0.7901,8.078,figure8,49
1134789153000,-1.9561,0.0982,8.0924,figure8,49
1134809159000,-1.7573,-0.5124,8.0493,figure8,49
1134829214000,-1.8052,-0.9601,7.9272,figure8,49
1134849183000,-2.0997,-1.4509,7.7285,figure8,49
1134869233000,-2.1691,-1.9273,7.4053,figure8,49
1134889202000,-2.0734,-2.3607,7.1467,figure8,49
1134909161000,-1.8794,-2.8587,7.3861,figure8,49
1134929119000,-1.6185,-3.146,7.6495,figure8,49
1134949153000,-1.3623,-3.2513,7.5274,figure8,49
1134969119000,-1.2306,-3.4524,7.446,figure8,49
1134989153000,-1.47,-3.201,7.7189,figure8,49
1135009149000,-1.6759,-3.2154,7.9966,figure8,49
1135029177000,-1.7166,-3.0742,8.3606,figure8,49
1135049224000,-2.0039,-3.0287,8.667,figure8,49
1135069114000,-2.1069,-3.0718,9.0094,figure8,49
1135089142000,-1.9513,-3.2274,9.3326,figure8,49
1135109288000,-1.7166,-3.486,9.6869,figure8,49
1135129189000,-1.2953,-3.7182,10.1514,figure8,49
1135149114000,-1.0654,-3.7828,10.4435,figure8,49
1135169220000,-0.759,-3.893,10.6398,figure8,49
1135189118000,-0.5962,-3.8906,10.5704,figure8,49
1135209238000,-0.5555,-3.8499,10.556,figure8,49
1140049243000,-0.2993,4.4412,9.7612,figure8,50
1140069122000,-0.0479,3.7757,9.4739,figure8,50
1140089120000,0.5124,2.8084,9.5433,figure8,50
1140109104000,0.644,2.5977,9.3661,figure8,50
1140129219000,0.2801,3.225,8.7053,figure8,50
1140149162000,-0.4932,3.5267,8.1403,figure8,50
1140169124000,-0.9768,3.0454,7.7309,figure8,50
1140189232000,-1.2258,2.7126,7.8338,figure8,50
1140209238000,-1.2809,2.6408,7.8697,figure8,50
1140229183000,-1.2977,2.8347,7.8027,figure8,50
1140249238000,-1.1061,3.0071,7.7333,figure8,50
1140269152000,-0.917,2.988,7.6112,figure8,50
1140289203000,-0.9218,2.4541,7.4651,figure8,50
1140309201000,-1.2641,1.9585,7.2233,figure8,50
1140329238000,-1.5874,1.5538,7.082,figure8,50
1140349241000,-1.7047,1.391,7.0892,figure8,50
1140369158000,-1.6831,1.3264,7.2975,figure8,50
1140389218000,-1.8675,0.838,7.5824,figure8,50
